texts,labels
to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,1
"schepisi , aided by a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) , has succeeded beyond all expectation . ",1
"as those monologues stretch on and on , you realize there 's no place for this story to go but down ",0
"singing and finger snapping it might have held my attention , but as it stands i kept looking for the last exit from brooklyn . ",0
"see an artist , still committed to growth in his ninth decade , change while remaining true to his principles ",1
is one of the rarest kinds of films : a family-oriented non-disney film that is actually funny without hitting below the belt . ,1
"the saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and the quiet american brings us right into the center of that world . ",1
will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ? ,0
"hollywood has crafted a solid formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor ",1
"an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism ",1
has been lost in the translation ... another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise . ,0
that haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace . ,1
"a very well-meaning movie , and it will stand in future years as an eloquent memorial to the world trade center tragedy . ",1
"a little uneven to be the cat 's meow , but it 's good enough to be the purr . ",1
"business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen ",0
"was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ",0
"after only three films , director/co-writer jacques audiard , though little known in this country , belongs in the very top rank of french filmmakers ",1
"there 's not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff ",0
"'s a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth . ",1
"the film never recovers from the clumsy cliché of the ugly american abroad , and the too-frosty exterior ms. paltrow employs to authenticate her british persona is another liability . ",0
", serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm . ",1
"it 's a setup so easy it borders on facile , but keeping the film from cheap-shot mediocrity is its crack cast . ",1
"thriller remarkable only for its lack of logic and misuse of two fine actors , morgan freeman and ashley judd . ",0
it 's as if a bored cage spent the duration of the film 's shooting schedule waiting to scream : `` got aids yet ? '' ,0
"a rip-off twice removed , modeled after ( seagal 's ) earlier copycat under siege , sometimes referred to as die hard on a boat . ",0
"metaphors abound , but it is easy to take this film at face value and enjoy its slightly humorous and tender story . ",1
it 's so devoid of joy and energy it makes even jason x ... look positively shakesperean by comparison . ,0
"fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent . ",1
's better than one might expect when you look at the list of movies starring ice-t in a major role . ,1
"as immediate as the latest news footage from gaza and , because of its heightened , well-shaped dramas , twice as powerful ",1
"might have been saved if the director , tom dey , had spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ",0
a sobering and powerful documentary about the most severe kind of personal loss : rejection by one 's mother . ,1
"armed with a game supporting cast , from the pitch-perfect forster to the always hilarious meara and levy , like mike shoots and scores , doing its namesake proud ",1
", harvard man is something rare and riveting : a wild ride that relies on more than special effects . ",1
"ca n't begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents ... ",0
is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it ,0
"unlike most anime , whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes , metropolis never seems hopelessly juvenile . ",1
"it jumps around with little logic or continuity , presenting backstage bytes of information that never amount to a satisfying complete picture of this particular , anciently demanding métier . ",0
"`` real women have curves '' is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams . ",1
"van wilder has a built-in audience , but only among those who are drying out from spring break and are still unconcerned about what they ingest . ",0
content with a clever pseudo-bio that manages to have a good time as it doles out pieces of the famous director 's life ,1
"the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller . ",1
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama . ,1
"what 's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be . ",1
"it 's enough to watch huppert scheming , with her small , intelligent eyes as steady as any noir villain , and to enjoy the perfectly pitched web of tension that chabrol spins . ",1
"each story is built on a potentially interesting idea , but the first two are ruined by amateurish writing and acting , while the third feels limited by its short running time ",0
"cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you ",1
"the film does n't have enough innovation or pizazz to attract teenagers , and it lacks the novel charm that made spy kids a surprising winner with both adults and younger audiences ",0
'' has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ,1
"lisa rinzler 's cinematography may be lovely , but love liza 's tale itself virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension . ",0
"be forewarned , if you 're depressed about anything before watching this film , you may just end up trying to drown yourself in a lake afterwards . ",0
are limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy . ,0
at once overly old-fashioned in its sudsy plotting and heavy-handed in its effort to modernize it with encomia to diversity and tolerance . ,0
the movie is like scorsese 's mean streets redone by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like leather warriors and switchblade sexpot . ,0
the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama ,1
"stealing harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable ",0
"an incredibly layered and stylistic film that , despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema ",1
"the art direction is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual dvd release will offer subtitles and the original italian-language soundtrack ",1
"are so few films about the plight of american indians in modern america that skins comes as a welcome , if downbeat , missive from a forgotten front ",1
"in an era where big stars and high production values are standard procedure , narc strikes a defiantly retro chord , and outpaces its contemporaries with daring and verve . ",1
"a rather brilliant little cult item : a pastiche of children 's entertainment , superhero comics , and japanese animation . ",1
"there are flaws , but also stretches of impact and moments of awe ; we 're wrapped up in the characters , how they make their choices , and why . ",1
exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable . ,0
"can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars ",1
"the otherwise good-naturedness of mr. deeds , with its embrace of sheer goofiness and cameos of less - than-likely new york celebrities ",1
if you 're a fan of the series you 'll love it and probably want to see it twice . ,1
"it made me feel unclean , and i 'm the guy who liked there 's something about mary and both american pie movies . ",0
"is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it ",1
"is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller . ",1
"the narrator and the other characters try to convince us that acting transfigures esther , but she 's never seen speaking on stage ; one feels cheated , and esther seems to remain an unchanged dullard . ",0
"the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers ",1
"two young women whose lives were as claustrophic , suffocating and chilly as the attics to which they were inevitably consigned ",0
"there is a welcome lack of pretension about the film , which very simply sets out to entertain and ends up delivering in good measure . ",1
"as satisfyingly odd and intriguing a tale as it was a century and a half ago ... has a delightfully dour , deadpan tone and stylistic consistency . ",1
be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love ,1
"captivates as it shows excess in business and pleasure , allowing us to find the small , human moments , and leaving off with a grand whimper . ",1
"like coming into a long-running , well-written television series where you 've missed the first half-dozen episodes and probably wo n't see the next six . ",0
"in his latest effort , storytelling , solondz has finally made a movie that is n't just offensive -- it also happens to be good ",1
"to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love 's power to help people endure almost unimaginable horror . ",1
the screenwriters dig themselves in deeper every time they toss logic and science into what is essentially a `` dungeons and dragons '' fantasy with modern military weaponry ... ,0
"like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables ",0
of cliches that shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence ,0
"mckay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service . ",0
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2 - hour , dissipated length . ",1
"'s the perfect star vehicle for grant , allowing him to finally move away from his usual bumbling , tongue-tied screen persona . ",1
is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer ,0
"quite frankly , i ca n't see why any actor of talent would ever work in a mcculloch production again if they looked at how this movie turned out . ",0
in milking a played-out idea -- a straight guy has to dress up in drag -- that shockingly manages to be even worse than its title ,0
", spirit 's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world . ",1
deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them ,0
"the film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the mentally ill ",1
"insomnia is one of the year 's best films and pacino gives one of his most daring , and complicated , performances . ",1
"if you can read the subtitles ( the opera is sung in italian ) and you like ` masterpiece theatre ' type costumes , you 'll enjoy this movie . ",1
"filmmakers dana janklowicz-mann and amir mann area headed east , far east , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of german jewish refugees while the world 's democracie ",1
"the actors are simply too good , and the story too intriguing , for technical flaws to get in the way . ",1
"attal 's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it 's a wonder that he could n't have brought something fresher to the proceedings simply by accident ",0
that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd ,0
"is without doubt an artist of uncompromising vision , but that vision is beginning to feel , if not morally bankrupt , at least terribly monotonous ",0
taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head ,0
"berling and béart ... continue to impress , and isabelle huppert ... again shows uncanny skill in getting under the skin of her characters . ",1
"thought i heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign ",0
", harry potter and the chamber of secrets finds a way to make j.k. rowling 's marvelous series into a deadly bore . ",0
perfect family film to take everyone to since there 's no new `` a christmas carol '' out in the theaters this year ,1
such an incomprehensible mess that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema . ,0
"bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly . ",0
", we get a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino 's climactic shootout -- and meat loaf explodes . ",0
befuddled in its characterizations as it begins to seem as long as the two year affair which is its subject ,0
is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ,0
has made a movie that will leave you wondering about the characters ' lives after the clever credits roll . ,1
needs more impressionistic cinematography and exhilarating point-of-view shots and fewer slow-motion ` grandeur ' shots and quick-cut edits that often detract from the athleticism . ,0
"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop ",1
"just when you think you are making sense of it , something happens that tells you there is no sense . ",0
stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music ,1
playfully profound ... and crazier than michael jackson on the top floor of a skyscraper nursery surrounded by open windows . ,1
"like most of jaglom 's films , some of it is honestly affecting , but more of it seems contrived and secondhand . ",0
"will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of miramax chief harvey weinstein 's bluff personal style to the stylistic rigors of denmark 's dogma movement ",1
"all the sensuality , all the eroticism of a good vampire tale has been , pardon the pun , sucked out and replaced by goth goofiness . ",0
the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull . ,0
pap invested in undergraduate doubling subtexts and ridiculous stabs at existentialism reminding of the discovery of the wizard of god in the fifth trek flick . ,0
", the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans . ",1
that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times ,0
"director george hickenlooper has had some success with documentaries , but here his sense of story and his juvenile camera movements smack of a film school undergrad , and his maudlin ending might not have gotten him into film school in the first place ",0
"birot creates a drama with such a well-defined sense of place and age -- as in , 15 years old -- that the torments and angst become almost as operatic to us as they are to her characters . ",1
so packed with subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film ,0
"beneath the uncanny , inevitable and seemingly shrewd facade of movie-biz farce ... lies a plot cobbled together from largely flat and uncreative moments . ",0
"has all the trappings of an energetic , extreme-sports adventure , but ends up more of a creaky `` pretty woman '' retread , with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought . ",0
"it is ok for a movie to be something of a sitcom apparatus , if the lines work , the humor has point ",1
"usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails ",1
"is reasonably entertaining , though it begins to drag two-thirds through , when the melodramatic aspects start to overtake the comedy . ",1
is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals . ,1
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling . ",1
looks and plays like a $ 40 million version of a game you 're more likely to enjoy on a computer ,0
"in death to smoochy , we do n't get williams ' usual tear and a smile , just sneers and bile , and the spectacle is nothing short of refreshing . ",1
a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams . ,1
's a fairy tale that comes from a renowned indian film culture that allows americans to finally revel in its splendor . ,1
"spider-man is about growing strange hairs , getting a more mature body , and finding it necessary to hide new secretions from the parental units . ",0
"at times a bit melodramatic and even a little dated ( depending upon where you live ) , ignorant fairies is still quite good-natured and not a bad way to spend an hour or two . ",1
"peppering this urban study with references to norwegian folktales , villeneuve creates in maelstrom a world where the bizarre is credible and the real turns magical . ",1
"that brown played in american culture as an athlete , a movie star , and an image of black indomitability ",1
you can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed . ,0
"'s clear why deuces wild , which was shot two years ago , has been gathering dust on mgm 's shelf . ",0
"see this , the final part of the ` qatsi ' trilogy , directed by godfrey reggio , with music ",1
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , ",1
mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another ,0
is really closer to porn than a serious critique of what 's wrong with this increasingly pervasive aspect of gay culture . ,0
"a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project ! ",0
"stale first act , scrooge story , blatant product placement , some very good comedic songs , strong finish , dumb fart jokes . ",0
"'s a testament to de niro and director michael caton-jones that by movie 's end , we accept the characters and the film , flaws and all ",1
"to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers ",1
"a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people ",1
"is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers . ",0
"comes not from any cinematic razzle-dazzle but from its recovery of an historical episode that , in the simple telling , proves simultaneously harrowing and uplifting ",1
remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . ' ,0
"when not wallowing in its characters ' frustrations , the movie is busy contriving false , sitcom-worthy solutions to their problems . ",0
"a fiercely clever and subtle film , capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries ",1
the santa clause 2 's plot may sound like it was co-written by mattel executives and lobbyists for the tinsel industry . ,0
"his ( nelson 's ) screenplay needs some serious re-working to show more of the dilemma , rather than have his characters stage shouting matches about it . ",0
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil . ,0
is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about ,0
you 're convinced that this mean machine was a decent tv outing that just does n't have big screen magic . ,0
of advocacy cinema that carries you along in a torrent of emotion as it explores the awful complications of one terrifying day ,1
"it 's all arty and jazzy and people sit and stare and turn away from one another instead of talking and it 's all about the silences and if you 're into that , have at it ",0
to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love ,1
ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff ,0
"like a ruse , a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas ",0
"director elie chouraqui , who co-wrote the script , catches the chaotic horror of war , but why bother if you 're going to subjugate truth to the tear-jerking demands of soap opera ? ",0
"wo n't be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors , daniel auteuil , ",1
"more of a creaky `` pretty woman '' retread , with the emphasis on self-empowering schmaltz and big-wave surfing that gives pic its title an afterthought ",0
"the story is a rather simplistic one : grief drives her , love drives him , and a second chance to find love in the most unlikely place - it struck a chord in me ",1
"marvelously compelling is present brown as a catalyst for the struggle of black manhood in restrictive and chaotic america ... sketchy but nevertheless gripping portrait of jim brown , a celebrated wonder in the spotlight ",1
it 's notably better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals ,1
"its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case ",1
anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair ,1
"mr. wollter and ms. seldhal give strong and convincing performances , but neither reaches into the deepest recesses of the character to unearth the quaking essence of passion , grief and fear ",1
"this humbling little film , fueled by the light comedic work of zhao benshan and the delicate ways of dong jie , is just the sort for those moviegoers who complain that ` they do n't make movies like they used to anymore . ' ",1
"it 's as if solondz had two ideas for two movies , could n't really figure out how to flesh either out , ",0
"mr. deeds is sure to give you a lot of laughs in this simple , sweet and romantic comedy . ",1
have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd ,0
"for those for whom the name woody allen was once a guarantee of something fresh , sometimes funny , and usually genuinely worthwhile , hollywood ending is a depressing experience ",0
about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us ,1
those reputedly `` unfilmable '' novels that has bucked the odds to emerge as an exquisite motion picture in its own right ,1
"painful to watch witherspoon 's talents wasting away inside unnecessary films like legally blonde and sweet home abomination , i mean , alabama ",0
takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals ,1
"a wishy-washy melodramatic movie that shows us plenty of sturm und drung , but explains its characters ' decisions only unsatisfactorily . ",0
"sounding like arnold schwarzenegger , with a physique to match , ( ahola ) has a wooden delivery and encounters a substantial arc of change that does n't produce any real transformation . ",0
"this is popcorn movie fun with equal doses of action , cheese , ham and cheek ( as well as a serious debt to the road warrior ) , but it feels like unrealized potential ",1
"while it may not add up to the sum of its parts , holofcener 's film offers just enough insight to keep it from being simpleminded , and the ensemble cast is engaging enough to keep you from shifting in your chair too often . ",1
see a movie that takes such a speedy swan dive from `` promising '' to `` interesting '' to `` familiar '' before landing squarely on `` stupid '' ,0
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult ",0
"assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low . ",0
"engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing ",1
"`` the dangerous lives of altar boys '' has flaws , but it also has humor and heart and very talented young actors ",1
"we started to wonder if ... some unpaid intern had just typed ` chris rock , ' ` anthony hopkins ' and ` terrorists ' into some univac-like script machine . ",0
"presents this utterly ridiculous shaggy dog story as one of the most creative , energetic and original comedies to hit the screen in years ",1
"'s immensely ambitious , different than anything that 's been done before and amazingly successful in terms of what it 's trying to do ",1
"elling '' manages to do all three quite well , making it one of the year 's most enjoyable releases ",1
"in the real world , an actor this uncharismatically beautiful would have a résumé loaded with credits like `` girl in bar # 3 . '' ",0
"brash , intelligent and erotically perplexing , haneke 's portrait of an upper class austrian society and the suppression of its tucked away demons ",1
"so fiendishly cunning that even the most jaded cinema audiences will leave the auditorium feeling dizzy , confused , and totally disorientated . ",1
"hold dear about cinema , only now it 's begun to split up so that it can do even more damage ",0
"post-september 11 , `` the sum of all fears '' seems more tacky and reprehensible , manipulating our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves . ",0
"the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but the emphasis on the latter leaves blue crush waterlogged . ",0
"ca n't accuse kung pow for misfiring , since it is exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie . ",0
"wonder , hope and magic can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars ",1
"shows crushingly little curiosity about , or is ill-equipped to examine , the interior lives of the characters in his film , much less incorporate them into his narrative . ",0
"want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness ",0
"the movie runs a good race , one that will have you at the edge of your seat for long stretches . ' ",1
"to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget ",0
will make you think twice about what might be going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster . ,1
"a genuinely funny ensemble comedy that also asks its audience -- in a heartwarming , nonjudgmental kind of way -- to consider what we value in our daily lives ",1
i encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale ,1
"the whole thing feels like a ruse , a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas . ",0
"must go to grant , who has n't lost a bit of the dry humor that first made audiences on both sides of the atlantic love him ",1
"'s ) quite a bit of heart , as you would expect from the directors of the little mermaid and aladdin ",1
"i never thought i 'd say this , but i 'd much rather watch teens poking their genitals into fruit pies ! ",0
"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma . ",0
