texts,labels,chatgpt answer,gpt3 answer,gpt2 answer,gpt2 score,bert answer,chatgpt_flip,gpt3_flip,bert_flip,chatgpt_pertubed,gpt3_perturbed,bert_pertubed,gpt2_pertubed,gpt2_pertubed_score,explanation_chatgpt,explanation_gpt3,gpt2_explanation,gpt2_explanation_score
", spy kids 2 looks as if it were made by a highly gifted 12-year-old instead of a grown man . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them . ,positive,positive,positive,positive,0.9998636245727539,negative,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"has far more energy , wit and warmth than should be expected from any movie with a `` 2 '' at the end of its title . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,negative,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"as much as i laughed throughout the movie , i can not mount a cogent defense of the film as entertainment , or even performance art , although the movie does leave you marveling at these guys ' superhuman capacity to withstand pain . ",positive,negative,negative,positive,0.9998636245727539,positive,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,mixed,negative,positive,0.9998636245727539
"it 's hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"and it sees those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
straining to get by on humor that is not even as daring as john ritter 's glory days on three 's company . ,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"the new film is a subzero version of monsters , inc. , without the latter 's imagination , visual charm or texture . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"on digital video , whose tiny camera enables shafer to navigate spaces both large ... and small ... with considerable aplomb ",positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ( though no less horrifying for it ) . ,positive,positive,positive,positive,0.9998636245727539,negative,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes ,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"thing to do with these characters except have them run through dark tunnels , fight off various anonymous attackers , and evade elaborate surveillance technologies ",negative,negative,negative,positive,0.9998636245727539,positive,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"this cinema verite speculation on the assassination of john f. kennedy may have been inspired by blair witch , but it takes its techniques into such fresh territory that the film never feels derivative . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"reminds us that , in any language , the huge stuff in life can usually be traced back to the little things . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"sticks , really , except a lingering creepiness one feels from being dragged through a sad , sordid universe of guns , drugs , avarice and damaged dreams . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"plays like a badly edited , 91-minute trailer ( and ) the director ca n't seem to get a coherent rhythm going ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,positive,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"it winds up moving in many directions as it searches ( vainly , i think ) for something fresh to say . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
mib ii is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
hard-won rewards over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club any time ,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,negative,positive,positive,0.9998636245727539,negative,positive,positive,0.9998636245727539
"a whole lot of fun and funny in the middle , though somewhat less hard-hitting at the start and finish . ",positive,positive,positive,positive,0.9998636245727539,negative,negative,positive,negative,positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"it 's mildly interesting to ponder the peculiar american style of justice that plays out here , but it 's so muddled and derivative that few will bother thinking it all through ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
", it 's also a -- dare i say it twice -- delightfully charming -- and totally american , i might add -- slice of comedic bliss . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"drumline ' shows a level of young , black manhood that is funny , touching , smart and complicated . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"nohe has made a decent ` intro ' documentary , but he feels like a spectator and not a participant ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,positive,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original ,positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"boldly stroked , luridly colored , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"the filmmakers are playing to the big boys in new york and l.a. to that end , they mock the kind of folks they do n't understand , ones they figure the power-lunchers do n't care to understand , either . ",negative,negative,negative,positive,0.9998636245727539,positive,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"is surely one of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"bolstered by an astonishing voice cast ( excepting love hewitt ) , an interesting racial tension , and a storyline that i have n't encountered since at least pete 's dragon . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"through putrid writing , direction and timing with a smile that says , ` if i stay positive , maybe i can channel one of my greatest pictures , drunken master . ' ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,positive,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"one of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; lavish period scenery ; and ",positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"anyone who suffers through this film deserves , at the very least , a big box of consolation candy . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"manages for but a few seconds over its seemingly eternal running time to pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
wonder why paul thomas anderson ever had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear ,positive,positive,positive,positive,0.9998636245727539,negative,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
abandon spends 90 minutes trying figure out whether or not some cocky pseudo-intellectual kid has intentionally left college or was killed . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"hoffman waits too long to turn his movie in an unexpected direction , and even then his tone retains a genteel , prep-school quality that feels dusty and leatherbound . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
an older cad instructs a younger lad in zen and the art of getting laid in this prickly indie comedy of manners and misanthropy . ,positive,positive,positive,positive,0.9998636245727539,negative,positive,negative,negative,negative,positive,positive,positive,0.9998636245727539,mixed,positive,positive,0.9998636245727539
"... less a story than an inexplicable nightmare , right down to the population 's shrugging acceptance to each new horror . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"whenever you think you 've seen the end of the movie , we cut to a new scene , which also appears to be the end . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,mixed,negative,positive,0.9998636245727539
"while the production details are lavish , film has little insight into the historical period and its artists , particularly in how sand developed a notorious reputation . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"because the intelligence level of the characters must be low , very low , very very low , for the masquerade to work , the movie contains no wit , only labored gags . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"ride for the kiddies , with enough eye candy and cheeky wit to keep parents away from the concession stand . ",positive,positive,positive,positive,0.9998636245727539,negative,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film . ,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"showtime is n't particularly assaultive , but it can still make you feel that you never want to see another car chase , explosion or gunfight again ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"schepisi , aided by a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) , has succeeded beyond all expectation . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"as those monologues stretch on and on , you realize there 's no place for this story to go but down ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"singing and finger snapping it might have held my attention , but as it stands i kept looking for the last exit from brooklyn . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"see an artist , still committed to growth in his ninth decade , change while remaining true to his principles ",positive,positive,positive,positive,0.9998636245727539,negative,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
is one of the rarest kinds of films : a family-oriented non-disney film that is actually funny without hitting below the belt . ,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,positive,positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"the saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and the quiet american brings us right into the center of that world . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ? ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"hollywood has crafted a solid formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism ",positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
has been lost in the translation ... another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
that haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace . ,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"a very well-meaning movie , and it will stand in future years as an eloquent memorial to the world trade center tragedy . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"a little uneven to be the cat 's meow , but it 's good enough to be the purr . ",positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"after only three films , director/co-writer jacques audiard , though little known in this country , belongs in the very top rank of french filmmakers ",positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"there 's not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"'s a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth . ",positive,positive,positive,positive,0.9998636245727539,positive,positive,negative,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"the film never recovers from the clumsy cliché of the ugly american abroad , and the too-frosty exterior ms. paltrow employs to authenticate her british persona is another liability . ",negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
", serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm . ",positive,positive,positive,positive,0.9998636245727539,negative,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"it 's a setup so easy it borders on facile , but keeping the film from cheap-shot mediocrity is its crack cast . ",positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"thriller remarkable only for its lack of logic and misuse of two fine actors , morgan freeman and ashley judd . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
it 's as if a bored cage spent the duration of the film 's shooting schedule waiting to scream : `` got aids yet ? '' ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"a rip-off twice removed , modeled after ( seagal 's ) earlier copycat under siege , sometimes referred to as die hard on a boat . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"metaphors abound , but it is easy to take this film at face value and enjoy its slightly humorous and tender story . ",positive,positive,positive,positive,0.9998636245727539,negative,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
it 's so devoid of joy and energy it makes even jason x ... look positively shakesperean by comparison . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,negative,positive,positive,0.9998636245727539,mixed,positive,positive,0.9998636245727539
's better than one might expect when you look at the list of movies starring ice-t in a major role . ,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,negative,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"as immediate as the latest news footage from gaza and , because of its heightened , well-shaped dramas , twice as powerful ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"might have been saved if the director , tom dey , had spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
a sobering and powerful documentary about the most severe kind of personal loss : rejection by one 's mother . ,positive,positive,positive,positive,0.9998636245727539,positive,negative,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"armed with a game supporting cast , from the pitch-perfect forster to the always hilarious meara and levy , like mike shoots and scores , doing its namesake proud ",positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
", harvard man is something rare and riveting : a wild ride that relies on more than special effects . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"ca n't begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents ... ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it ,negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"unlike most anime , whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes , metropolis never seems hopelessly juvenile . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"it jumps around with little logic or continuity , presenting backstage bytes of information that never amount to a satisfying complete picture of this particular , anciently demanding métier . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"`` real women have curves '' is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams . ",positive,positive,positive,positive,0.9998636245727539,positive,positive,negative,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"van wilder has a built-in audience , but only among those who are drying out from spring break and are still unconcerned about what they ingest . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
content with a clever pseudo-bio that manages to have a good time as it doles out pieces of the famous director 's life ,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama . ,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"what 's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be . ",positive,negative,negative,positive,0.9998636245727539,positive,positive,positive,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"it 's enough to watch huppert scheming , with her small , intelligent eyes as steady as any noir villain , and to enjoy the perfectly pitched web of tension that chabrol spins . ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,positive,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"each story is built on a potentially interesting idea , but the first two are ruined by amateurish writing and acting , while the third feels limited by its short running time ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you ",positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"the film does n't have enough innovation or pizazz to attract teenagers , and it lacks the novel charm that made spy kids a surprising winner with both adults and younger audiences ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,positive,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
'' has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ,positive,positive,positive,positive,0.9998636245727539,positive,negative,positive,negative,positive,positive,positive,positive,0.9998636245727539,positive,positive,positive,0.9998636245727539
"lisa rinzler 's cinematography may be lovely , but love liza 's tale itself virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,positive,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
"be forewarned , if you 're depressed about anything before watching this film , you may just end up trying to drown yourself in a lake afterwards . ",negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,positive,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
are limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy . ,negative,negative,negative,positive,0.9998636245727539,negative,positive,negative,negative,negative,negative,negative,positive,0.9998636245727539,negative,negative,positive,0.9998636245727539
